Name,Age,Nationality,Club
Allan,21,Brazil,Eintracht Frankfurt
Luis Felipe,22,United States,San Jose Earthquakes
F. Kiss,27,Slovakia,Ettifaq FC
U. Ceylan,32,Turkey,Alanyaspor
P. Filipović,27,Germany,Atiker Konyaspor
Cifu,27,Spain,Málaga CF
F. Álvarez,25,Argentina,Atlético Tucumán
Caio Tafarell,26,Brazil,Vitória
E. Eze,20,England,Queens Park Rangers
A. Balzano,32,Italy,Pescara
J. Olsson,35,Sweden,Djurgårdens IF
J. Lefort,24,France,Amiens SC
I. Höhn,26,Germany,SV Darmstadt 98
J. Gyau,25,United States,MSV Duisburg
M. Al Sahlawi,31,Saudi Arabia,Al Nassr
Alberto,25,Spain,CD Tenerife
Luciano Cacheira,34,Brazil,Paraná
M. Gaus,28,Germany,FC Ingolstadt 04
C. Lampe,31,Bolivia,Boca Juniors
A. Vellios,26,Greece,Waasland-Beveren
J. Sánchez,20,Mexico,Club América
F. Fielding,30,England,Bristol City
N. Theuerkauf,31,Germany,1. FC Heidenheim 1846
M. Sadlok,29,Poland,Wisła Kraków
H. Olvera,28,Mexico,Club Atlas
S. Mosquera,24,Colombia,Deportes Tolima
V. Kalitvintsev,25,Ukraine,Dynamo Kyiv
S. Papagiannopoulos,27,Sweden,FC København
I. Pettersson,21,Sweden,IFK Norrköping
C. Evans,27,Northern Ireland,Blackburn Rovers
A. Richards,27,Wales,Cardiff City
S. Dursun,26,Germany,SV Darmstadt 98
R. Leipertz,25,Germany,FC Ingolstadt 04
R. Pasveer,34,Netherlands,Vitesse
D. Daube,28,Germany,KFC Uerdingen 05
Iñaki Astiz,34,Spain,Legia Warszawa
S. Bigalke,28,Germany,SpVgg Unterhaching
M. Silvestri,27,Italy,Hellas Verona
S. Muwashar,29,Saudi Arabia,Al Ahli
A. Powell,23,Jamaica,Portland Timbers
P. Kirkevold,27,Norway,Hobro IK
S. Roudet,37,France,Valenciennes FC
S. Gonther,31,Germany,SG Dynamo Dresden
I. Ghaleb,27,Saudi Arabia,Al Nassr
P. Sotiriou,25,Cyprus,FC København
W. Faes,20,Belgium,KV Oostende
S. Tecl,27,Czech Republic,SK Slavia Praha
M. Guanini,22,Argentina,Gimnasia y Esgrima La Plata
J. Brix-Damborg,32,Denmark,Hobro IK
M. de los Santos,25,Uruguay,Millonarios FC
F. Andrada,24,Argentina,Unión de Santa Fe
Z. Youssouf,18,France,FC Girondins de Bordeaux
S. Ciss,29,Senegal,Angers SCO
S. Mockenhaupt,26,Germany,SV Wehen Wiesbaden
N. Cozza,19,France,Montpellier HSC
M. Valoti,24,Italy,SPAL
Y. Salmier,25,France,ESTAC Troyes
C. Benschop,28,Curacao,FC Ingolstadt 04
Gégé,30,Cape Verde,Al Fayha
L. Morosini,22,Italy,Brescia
Sandeiro Leal,30,Brazil,Paraná
M. Pongračić,20,Croatia,FC Red Bull Salzburg
L. Ibáñez,29,Argentina,Trabzonspor
M. O'Halloran,27,Scotland,Melbourne City FC
M. van Duinen,26,Netherlands,PEC Zwolle
R. Zwinkels,35,Netherlands,ADO Den Haag
F. Mazzeo,34,Italy,Foggia
C. Auzqui,27,Argentina,Club Atlético Huracán
J. Quintero,23,Colombia,Deportivo Cali
B. Watson,32,England,Nottingham Forest
Gustavo Cascardo,21,Brazil,Vitória de Setúbal
T. Bradshaw,25,Wales,Millwall
J. Pelupessy,25,Netherlands,Sheffield Wednesday
J. Fojut,30,Poland,Pogoń Szczecin
M. Brighi,37,Italy,Empoli
L. Boussaha,30,France,Grenoble Foot 38
D. Bomheuer,27,Germany,MSV Duisburg
B. Sangaré,32,Ivory Coast,
Y. Cabral,26,Argentina,Atlético Tucumán
S. Breitkreuz,26,Germany,FC Erzgebirge Aue
K. Rowe,26,United States,New England Revolution
Roldão Riso,26,Brazil,Grêmio
C. Rizzuto,26,Germany,FC Erzgebirge Aue
D. van Mieghem,28,Netherlands,De Graafschap
A. El Messaoudi,22,Morocco,Fortuna Sittard
Y. Cabrera,27,Colombia,América de Cali
S. Ay,26,Turkey,Atiker Konyaspor
A. Gojak,21,Bosnia Herzegovina,Dinamo Zagreb
L. Gülen,24,Switzerland,Kayserispor
N. Eliasson,22,Sweden,Bristol City
Y. Komai,26,Japan,Hokkaido Consadole Sapporo
S. Marinos,30,Greece,Sporting de Charleroi
D. Verhulst,30,Belgium,Sporting Lokeren
Núrio,23,Angola,Sporting de Charleroi
S. Sparagna,23,France,Boavista FC
H. Halldórsson,34,Iceland,
M. Prietl,26,Austria,DSC Arminia Bielefeld
Nono,27,Spain,AD Alcorcón
J. Berget,27,Norway,New York City FC
M. Jacobs,26,England,Wigan Athletic
J. Brillante,25,Australia,Sydney FC
P. van Anholt,27,Netherlands,NAC Breda
P. Ziereis,25,Germany,FC St. Pauli
R. Bezjak,29,Slovenia,Jagiellonia Białystok
A. Vega,20,Mexico,Deportivo Toluca
S. Bentivoglio,33,Italy,Venezia FC
Juan Muñoz,22,Spain,AD Alcorcón
Linares,35,Spain,CF Reus Deportiu
S. De Petter,32,Belgium,Sint-Truidense VV
Renatao Baumer,34,Brazil,Vitória
A. Ivan,21,Romania,SK Rapid Wien
I. Šunjić,21,Croatia,Dinamo Zagreb
S. Andrist,30,Switzerland,SV Wehen Wiesbaden
Q. Cornette,24,France,Amiens SC
Carvamelinho,34,Brazil,Grêmio
R. Oudin,21,France,Stade de Reims
C. Stengs,19,Netherlands,AZ Alkmaar
I. González,33,Mexico,Club León
S. Dallas,27,Northern Ireland,Leeds United
S. Walsh,23,Netherlands,SV Zulte-Waregem
U. Radaković,24,Serbia,Sparta Praha
P. Schobesberger,24,Austria,SK Rapid Wien
Jaimosa Cavaco,30,Brazil,Vitória
M. Turner,24,United States,New England Revolution
Alfaro,31,Spain,Córdoba CF
M. Havel,23,Czech Republic,Viktoria Plzeň
J. Hegeler,30,Germany,Bristol City
M. Fares,22,Algeria,SPAL
C. Techera,26,Uruguay,Vancouver Whitecaps FC
F. Tomori,20,England,Derby County
H. Takahashi,30,Japan,Sagan Tosu
A. Rivas,33,Colombia,América de Cali
J. Mosquera,28,Colombia,Deportivo Cali
A. Linde,24,Sweden,Molde FK
C. Bonilla,25,Colombia,Al Fayha
Diego Capel,30,Spain,Extremadura UD
Leandrinho,24,Brazil,Rio Ave FC
Susaeta,33,Spain,Albacete BP
M. Zimmermann,26,Germany,Fortuna Düsseldorf
E. Demir,28,Sweden,SV Zulte-Waregem
Marco Sangalli,26,Spain,AD Alcorcón
T. Hayashi,35,Japan,Sanfrecce Hiroshima
R. Bormuth,22,Germany,Fortuna Düsseldorf
E. Hernández,31,Mexico,Guadalajara
B. Martella,25,Italy,Crotone
E. Oikonomou,30,Greece,Panathinaikos FC
L. Choutesiotis,23,Greece,Olympiacos CFP
J. Blaswich,27,Germany,Heracles Almelo
J. Huth,24,Germany,1. FSV Mainz 05
I. Sackey,24,Ghana,Alanyaspor
Jang Hyeon Soo,26,Korea Republic,FC Tokyo
A. Rosati,35,Italy,Torino
J. Cabrera,26,Uruguay,Deportivo Toluca
Anderson Lopes,24,Brazil,FC Seoul
N. Byrne,26,England,Wigan Athletic
A. Trajkovski,25,FYR Macedonia,Palermo
Alex Geijo,36,Spain,Venezia FC
Iván Sánchez,25,Spain,Elche CF
J. Carranza,37,Argentina,San Martin de Tucumán
E. Ocansey,20,Ghana,KAS Eupen
B. Uphoff,24,Germany,Karlsruher SC
Wu Xi,29,China PR,Jiangsu Suning FC
C. Skuse,32,England,Ipswich Town
E. Rexhbeçaj,20,Kosovo,VfL Wolfsburg
G. Åsen,27,Norway,Tromsø IL
M. Laba,26,Argentina,Estudiantes de La Plata
G. Carabajal,26,Argentina,Patronato
T. Fontaine,27,Madagascar,Stade de Reims
J. Villafaña,28,United States,Portland Timbers
B. Tashchy,24,Ukraine,MSV Duisburg
J. Vaughan,29,England,Wigan Athletic
J. Moya,25,Colombia,Independiente Santa Fe
N. Sangaré,24,Turkey,Antalyaspor
Kim Kwang Suk,35,Korea Republic,Pohang Steelers
M. Rojas,26,New Zealand,SC Heerenveen
E. Taşkıran,28,Turkey,Atiker Konyaspor
M. Gersbeck,23,Germany,Hertha BSC
U. Çiftçi,26,Turkey,Sivasspor
Lucas Galvão,27,Brazil,FC Ingolstadt 04
B. Riascos,23,Colombia,CD Nacional
E. Saveljich,27,Montenegro,UD Almería
Tang Miao,27,China PR,Guangzhou R&F; FC
J. Mees,22,Germany,1. FC Union Berlin
C. Cáceda,26,Peru,
O. Fernández,25,Colombia,Puebla FC
Jeffrén,30,Venezuela,Grasshopper Club Zürich
K. Manneh,23,United States,FC St. Gallen
G. Larsonneur,21,France,Stade Brestois 29
O. Kúdela,31,Czech Republic,SK Slavia Praha
E. Bourgaud,30,France,Red Star FC
P. Huspek,27,Austria,SK Sturm Graz
G. Maluleka,29,South Africa,Kaizer Chiefs
T. Jurić,26,Australia,FC Luzern
F. Scaglia,26,Italy,Cittadella
David Rodríguez,32,Spain,CA Osasuna
H. Kekana,33,South Africa,
C. Dibon,27,Austria,SK Rapid Wien
R. Petretta,21,Italy,FC Basel 1893
M. Scozzarella,30,Italy,Parma
M. Kaye,23,Canada,Los Angeles FC
Y. Toyokawa,23,Japan,KAS Eupen
L. Bittante,24,Italy,Empoli
E. Velarde,32,Mexico,Monarcas Morelia
D. Jones,33,England,Sheffield Wednesday
M. Cahais,30,Argentina,San Martin de Tucumán
M. Olivera,20,Uruguay,Albacete BP
M. Sax,25,Austria,FK Austria Wien
A. Mühling,25,Germany,Holstein Kiel
P. Bråtveit,22,Norway,FK Haugesund
F. Píriz,28,Uruguay,Montpellier HSC
Ricardo Lopes,27,Brazil,Jeonbuk Hyundai Motors
P. Hamel,24,France,FC Lorient
K. Mączyński,31,Poland,Legia Warszawa
M. Hamdy,23,Egypt,
R. Pröpper,24,Netherlands,Heracles Almelo
C. N'Doye,32,Senegal,Angers SCO
Fernando Karanga,27,Brazil,Henan Jianye FC
C. Carter-Vickers,20,United States,Swansea City
E. Cobbaut,20,Belgium,RSC Anderlecht
M. Dąbrowski,31,Poland,Zagłębie Lubin
F. Picault,27,United States,Philadelphia Union
R. Romo,28,Venezuela,
A. Corzo,29,Peru,
L. Dickmann,21,Italy,SPAL
Luis Pérez,23,Spain,CD Tenerife
A. Barkok,20,Germany,Fortuna Düsseldorf
M. Watkins,27,Wales,Bristol City
H. Arslan,29,Turkey,Sivasspor
A. Camargo,29,Argentina,CD Universidad de Concepción
F. Müller,20,Germany,1. FSV Mainz 05
B. Behrendt,26,Germany,DSC Arminia Bielefeld
L. Zingerle,24,Germany,SC Paderborn 07
Mei Fang,28,China PR,Guangzhou Evergrande Taobao FC
M. Svanberg,19,Sweden,Bologna
D. Bernhardt,32,Germany,VfR Aalen
K. D'Haene,28,Belgium,KV Kortrijk
J. Malagón,25,Colombia,Patriotas Boyacá FC
Paulo Fajarda,26,Brazil,Cruzeiro
Germán,31,Spain,Granada CF
B. Idowu,26,Nigeria,Lokomotiv Moscow
B. Mkhwanazi,28,South Africa,
Toché,35,Spain,Real Oviedo
Hélder Ferreira,21,Portugal,Vitória Guimarães
G. Mandjeck,29,Cameroon,
S. Morsy,26,Egypt,Wigan Athletic
T. Antonis,24,Australia,Melbourne Victory
M. Duffy,23,Northern Ireland,Dundalk
A. Ndour,24,Senegal,RC Strasbourg Alsace
Rafael Costa,27,Brazil,Boavista FC
K. Walker-Peters,21,England,Tottenham Hotspur
C. Luna,36,Argentina,Club Atlético Tigre
J. Bidwell,25,England,Queens Park Rangers
F. Noguera,25,Argentina,Estudiantes de La Plata
T. Weah,18,United States,Paris Saint-Germain
J. Paganoni,29,Mexico,Tiburones Rojos de Veracruz
A. Collin,32,France,New York Red Bulls
Ripa,32,Spain,CD Numancia
Galán,32,Spain,CF Rayo Majadahonda
M. Bolados,22,Chile,Universidad Católica
Sandro Maceira,26,Brazil,Atlético Paranaense
R. Ibarra,23,Ecuador,Minnesota United FC
N. Al Shamrani,34,Saudi Arabia,Al Shabab
R. Holmes,31,England,Oxford United
J. Cordoval,28,France,ESTAC Troyes
M. Radović,34,Serbia,Legia Warszawa
G. Zigoni,27,Italy,Venezia FC
J. Corona,27,United States,Club América
W. Bruin,28,United States,Seattle Sounders FC
J. Glad,21,United States,Real Salt Lake
D. Gordon,33,Jamaica,Karlsruher SC
P. Rodríguez,28,Argentina,Moreirense FC
E. Konsa,20,England,Brentford
O. Darfalou,24,Algeria,Vitesse
L. Murphy,28,England,Bolton Wanderers
Chuli,27,Spain,Extremadura UD
D. Suzuki,28,Japan,Kashiwa Reysol
A. Gholizadeh,22,Iran,Sporting de Charleroi
I. Ouali,30,Algeria,KV Kortrijk
B. Holman,34,Australia,Brisbane Roar
J. Gyamerah,23,Germany,VfL Bochum 1848
Cai Huikang,28,China PR,Shanghai SIPG FC
M. Pittón,23,Argentina,Unión de Santa Fe
T. Kuszczak,36,Poland,Birmingham City
L. Blessing,21,Ghana,Los Angeles FC
D. Meyler,29,Republic of Ireland,Reading
J. Czerwiński,26,Poland,Piast Gliwice
R. Vilchis,28,Mexico,Monarcas Morelia
G. Valsvik,25,Norway,Eintracht Braunschweig
A. Giannou,28,Australia,
J. Hobbs,29,England,Bolton Wanderers
R. Gíslason,30,Iceland,SV Sandhausen
C. M'Bengue,29,Senegal,AS Saint-Étienne
I. Jiménez,28,Mexico,Tigres U.A.N.L.
A. Al Khaibari,32,Saudi Arabia,Al Hilal
S. Yatabaré,29,Mali,Royal Antwerp FC
J. Lowe,26,England,Bolton Wanderers
E. Jelenič,25,Slovenia,Carpi
M. Abero,28,Uruguay,Atlético Tucumán
A. Teikeu,28,Cameroon,Ohod Club
E. Castillo,31,United States,Colorado Rapids
M. Wagué,19,Senegal,FC Barcelona
P. Klandt,34,Germany,1. FC Nürnberg
Farley,24,Brazil,Ettifaq FC
Luís Martins,26,Portugal,GD Chaves
S. Riether,35,Germany,FC Schalke 04
L. Diarte,25,Argentina,San Martin de Tucumán
G. Bojanich,33,Argentina,Argentinos Juniors
B. Mansilla,21,Argentina,Racing Club
Fran Villalba,20,Spain,CD Numancia
L. Peltier,31,England,Cardiff City
M. Knaller,31,Austria,FC Ingolstadt 04
Baena,29,Spain,Melbourne Victory
P. Ziegler,28,Germany,Western Sydney Wanderers
S. Wangberg,27,Norway,Tromsø IL
N. Thomsen,25,Denmark,FC København
D. Boer,37,Netherlands,PEC Zwolle
D. Hernández,25,Colombia,San Lorenzo de Almagro
A. Šporar,24,Slovenia,
J. Jantscher,29,Austria,SK Sturm Graz
E. Huws,24,Wales,Ipswich Town
U. Matić,28,Serbia,FK Austria Wien
A. Ashraf,27,Egypt,
W. Bakhashwain,28,Saudi Arabia,Al Wehda
H. Aiesh,23,Sweden,Östersunds FK
S. Prevljak,23,Bosnia Herzegovina,FC Red Bull Salzburg
A. Aldrete,30,Mexico,Cruz Azul
L. De Bock,25,Belgium,KV Oostende
J. Hunt,27,England,Bristol City
L. Ceballos,31,Argentina,Patronato
Javi Muñoz,23,Spain,Real Oviedo
Alson Botelho,30,Brazil,Atlético Mineiro
O. De Wolf,21,Belgium,Sporting Lokeren
J. Arp,18,Germany,Hamburger SV
J. Ardaiz,19,Uruguay,Frosinone
L. Moult,26,England,Preston North End
Arthur Caike,26,Brazil,Al Shabab
I. Rivas,30,Colombia,Junior FC
N. Onuoha,31,England,Real Salt Lake
Mika,27,Portugal,Os Belenenses
V. Klonaridis,25,Belgium,AEK Athens
C. Stanković,25,Austria,FC Red Bull Salzburg
M. Gómez,24,Colombia,Rionegro Águilas
L. Klünter,22,Germany,Hertha BSC
A. Farrell,26,United States,New England Revolution
G. Tutino,21,Italy,Cosenza
E. Kouassi,20,Ivory Coast,Celtic
I. Cardona,20,France,KSV Cercle Brugge
G. Bruno,26,Belgium,KSV Cercle Brugge
D. Accam,27,Ghana,Philadelphia Union
Pablo Valcarce,25,Spain,RCD Mallorca
Filipe Ferreira,27,Portugal,SK Sturm Graz
E. Triverio,29,Argentina,Deportivo Toluca
Wellington,25,Brazil,Portimonense SC
B. Nehrig,31,Germany,FC St. Pauli
F. Campbell,30,England,Hull City
M. Yatabaré,32,Mali,Atiker Konyaspor
E. Lenjani,28,Albania,FC Sion
F. Bredlow,23,Germany,1. FC Nürnberg
Y. Takahagi,31,Japan,FC Tokyo
D. Arzani,19,Australia,Celtic
A. Bencharki,23,Morocco,Racing Club de Lens
B. Ampuero,24,Chile,Universidad Católica
G. Puşcaş,22,Romania,Palermo
C. Chávez,31,Argentina,Club Atlético Aldosivi
V. Marcel,21,France,ESTAC Troyes
I. Pillud,32,Argentina,Racing Club
B. Dja Djédjé,27,Ivory Coast,MKE Ankaragücü
M. Bakić,24,Montenegro,Royal Excel Mouscron
P. Sané,26,Senegal,AS Nancy Lorraine
J. Clarke-Salter,20,England,Vitesse
I. Radu,21,Romania,Genoa
D. Gibson,30,Republic of Ireland,Wigan Athletic
H. Özmert,33,Turkey,Antalyaspor
L. Spendlhofer,25,Austria,SK Sturm Graz
Pomares,25,Spain,Extremadura UD
A. Costa,33,Argentina,San Martin de Tucumán
Pedro Porro,18,Spain,Girona FC
Y. Stark,27,Germany,SV Darmstadt 98
M. Tanković,23,Sweden,Hammarby IF
R. Lindgren,33,Sweden,BK Häcken
Raúl Llorente,32,Spain,Western Sydney Wanderers
M. García,26,Argentina,San Martin de Tucumán
M. Kucharczyk,27,Poland,Legia Warszawa
M. Havenaar,31,Japan,Vegalta Sendai
F. Bahlouli,23,France,LOSC Lille
C. Roberts,22,Wales,Swansea City
Servando,34,Spain,Cádiz CF
Lucas João,24,Portugal,Sheffield Wednesday
K. Kodro,24,Bosnia Herzegovina,FC København
Lucas Tagliapietra,27,Brazil,Al Batin
G. Maroni,19,Argentina,Club Atlético Talleres
O. Altman,24,Israel,Panathinaikos FC
J. Legear,31,Belgium,Sint-Truidense VV
Crislan,26,Brazil,Shimizu S-Pulse
S. Hakšabanovič,19,Montenegro,Málaga CF
M. Christiansen,21,Germany,DSC Arminia Bielefeld
D. Sundgren,27,Sweden,AIK
A. Parot,28,Chile,Rosario Central
M. Petković,25,Serbia,Spartak Moscow
C. Charisis,23,Greece,KV Kortrijk
Diogo Coelho,24,Portugal,CD Nacional
M. Ibarra,28,United States,Minnesota United FC
Riqui Puig,18,Spain,FC Barcelona
M. Pereira,30,France,Yeni Malatyaspor
Ilori,25,Portugal,Reading
M. Zeffane,26,Algeria,Stade Rennais FC
Tomás Podstawski,23,Portugal,Pogoń Szczecin
Jo Sung Jin,27,Korea Republic,Suwon Samsung Bluewings
H. Yamada,29,Japan,Júbilo Iwata
Antonaldo Laforte,26,Brazil,Fluminense
C. Beck,30,Germany,1. FC Magdeburg
E. Rivière,28,France,FC Metz
I. Parlak,31,Turkey,MKE Ankaragücü
B. Montenegro,25,Paraguay,Club Atlético Talleres
V. Demarconnay,35,France,Paris FC
A. Ajagun,25,Nigeria,KV Kortrijk
G. Madine,27,England,Cardiff City
F. Cordero,30,Chile,San Martin de Tucumán
R. Stearman,30,England,Sheffield United
H. ter Avest,21,Netherlands,Udinese
J. Medina,21,Paraguay,New York City FC
V. Anita,29,Netherlands,Willem II
C. McManaman,27,England,Wigan Athletic
Oriol Rosell,25,Spain,Orlando City SC
Paulo Daineiro,34,Brazil,Ceará Sporting Club
R. Vincelot,32,France,Crawley Town
R. Lenis,25,Colombia,Atlético Nacional
M. Mier,27,Uruguay,La Equidad
Y. de Lanlay,26,Norway,Rosenborg BK
J. Gómez,24,Mexico,Querétaro
I. Lichnovsky,24,Chile,Cruz Azul
C. Muñoz,29,Chile,Unión Española
J. MacDonald,32,Scotland,Kilmarnock
G. Boyd,32,Scotland,Sheffield Wednesday
E. Lichaj,29,United States,Hull City
M. Wittek,29,Germany,1. FC Heidenheim 1846
C. Jenkinson,26,England,Arsenal
A. Öztürk,24,Belgium,Göztepe SK
J. Pérez,27,Colombia,Pachuca
Zhang Chengdong,29,China PR,Hebei China Fortune FC
F. Renzetti,30,Italy,US Cremonese
B. Paulsen,26,Denmark,Hammarby IF
F. Aristeguieta,26,Venezuela,América de Cali
A. Ramos,26,Chile,CD Everton de Viña del Mar
V. Nelsson,19,Denmark,FC Nordsjælland
Ever Sineiro,30,Brazil,Cruzeiro
M. Costanzo,30,Switzerland,FC Thun
Yohan Tavares,30,Portugal,ESTAC Troyes
D. Texeira,27,Uruguay,Moreirense FC
D. Toth,31,Austria,FC Admira Wacker Mödling
L. Barrera,27,Argentina,Clube Sport Marítimo
K. Bua,24,Switzerland,FC Basel 1893
I. Anya,30,Scotland,Derby County
P. Hoban,26,Republic of Ireland,Dundalk
Hugo Basto,25,Portugal,GD Chaves
Kanu,30,Brazil,KV Kortrijk
C. Arango,23,Colombia,CD Tondela
M. Karl,32,Germany,SV Sandhausen
Y. Movsisyan,30,Armenia,Chicago Fire
Puado,20,Spain,RCD Espanyol
M. Abu,26,Ghana,Vålerenga Fotball
D. Moberg Karlsson,24,Sweden,IFK Norrköping
E. Rescaldani,26,Argentina,Patronato
J. Narváez,23,Colombia,UD Almería
J. Hoogma,20,Netherlands,TSG 1899 Hoffenheim
S. Beitashour,31,Iran,Los Angeles FC
M. Janko,35,Austria,FC Lugano
S. Willems,27,France,Sporting de Charleroi
O. Scarione,32,Argentina,Göztepe SK
Alex,26,Portugal,Vitória de Setúbal
S. Gallagher,22,England,Southampton
J. Blanco,26,Colombia,Independiente Medellín
O. Hamzaoui,27,Algeria,CD Nacional
G. Milović,29,Croatia,KV Oostende
P. Hosiner,29,Austria,SK Sturm Graz
Caro,25,Spain,Albacete BP
Felipe Pires,23,Brazil,TSG 1899 Hoffenheim
S. Chernik,29,Belarus,AS Nancy Lorraine
Renato Rochela,26,Brazil,Atlético Mineiro
J. Henry,29,England,Oxford United
L. James,25,Nigeria,Molde FK
P. Reulet,24,France,Stade Malherbe Caen
M. Miloš,25,Croatia,CD Aves
L. Valzania,22,Italy,Atalanta
J. George,25,Germany, SSV Jahn Regensburg
G. Robail,24,France,Valenciennes FC
B. Beckeles,32,Honduras,Club Necaxa
R. Brežančić,28,Serbia,SD Huesca
D. Camara,23,Guinea,ESTAC Troyes
O. Barreto,25,Colombia,Millonarios FC
J. Igbekeme,22,Nigeria,Real Zaragoza
D. Álvarez,36,Colombia,Patriotas Boyacá FC
S. Neumann,27,Germany,MSV Duisburg
Diego Barcelos,33,Brazil,CD Nacional
M. Wallace,25,Scotland,Millwall
D. Bottinelli,31,Argentina,Audax Italiano
C. McLaughlin,26,Northern Ireland,Millwall
C. Gamboa,28,Costa Rica,Celtic
J. Vanlerberghe,22,Belgium,KV Oostende
M. Osuna,29,Mexico,Monarcas Morelia
K. Miller,38,Scotland,Dundee FC
M. Ciani,34,France,LA Galaxy
L. Vásquez,26,Colombia,América de Cali
G. Troupée,20,Netherlands,ADO Den Haag
A. Erdem,29,Turkey,Medipol Başakşehir FK
D. De fauw,36,Belgium,SV Zulte-Waregem
D. Cavaré,23,France,Barnsley
F. Maouassa,19,France,Nîmes Olympique
N. Dovedan,23,Austria,1. FC Heidenheim 1846
V. Hedenstad,27,Norway,Rosenborg BK
J. O'Shea,37,Republic of Ireland,Reading
Y. Wildschut,26,Netherlands,Bolton Wanderers
P. Dawidowicz,23,Poland,Hellas Verona
P. Bartolomei,28,Italy,Spezia
Rômulão Selva,26,Brazil,Botafogo
K. Higashi,27,Japan,FC Tokyo
L. Mora,30,Italy,Spezia
J. Abrigo,23,Chile,Tiburones Rojos de Veracruz
M. Diskerud,27,United States,Ulsan Hyundai FC
E. Torregrossa,26,Italy,Brescia
C. Cadden,21,Scotland,Motherwell
D. Dąbrowski,25,Poland,Cracovia
Fernández,28,Spain,Córdoba CF
Z. Yavru,26,Turkey,Trabzonspor
L. Wallace,30,Scotland,Rangers FC
J. Niezgoda,23,Poland,Legia Warszawa
L. Abubakar,23,Ghana,Columbus Crew SC
C. Leitgeb,33,Austria,FC Red Bull Salzburg
E. Pisano,31,Italy,Bristol City
F. N'Sakala,27,DR Congo,Alanyaspor
L. Thomas,26,Australia,Melbourne Victory
Igor Rossi,29,Brazil,Al Faisaly
A. Sadiku,27,Albania,Levante UD
K. Bistrović,20,Croatia,PFC CSKA Moscow
V. Elm,32,Sweden,Kalmar FF
Carlos Ruiz,34,Spain,CD Tenerife
M. Clarke,21,England,Portsmouth
Witi,21,Mozambique,CD Nacional
Auro,22,Brazil,Toronto FC
K. Palmer,21,England,Blackburn Rovers
B. Radunović,22,Serbia,US Cremonese
M. Diallo,32,Senegal,Nîmes Olympique
Negueba,26,Brazil,Gyeongnam FC
J. Repas,21,Slovenia,Stade Malherbe Caen
N. Mäenpää,33,Finland,Bristol City
P. Cibicki,24,Sweden,Molde FK
T. Touré,24,Ivory Coast,Angers SCO
T. Jibril,20,Nigeria,Portimonense SC
M. Morys,31,Germany,VfR Aalen
S. Schonlau,23,Germany,SC Paderborn 07
A. Favilli,21,Italy,Genoa
D. Pisot,30,Germany,Karlsruher SC
Noguera,28,Spain,CD Numancia
D. Rubio,25,Chile,Sporting Kansas City
S. Hedlund,25,Sweden,1. FC Union Berlin
R. Dugimont,32,France,AJ Auxerre
A. Montero,23,Colombia,Deportes Tolima
M. Hartel,22,Germany,1. FC Union Berlin
Adrián Ortolá,24,Spain,Deportivo de La Coruña
D. Ismail,24,Iraq,Çaykur Rizespor
T. Ambrose,21,France,Racing Club de Lens
N. Ueda,23,Japan,KSV Cercle Brugge
F. Cassata,20,Italy,Frosinone
Kim Shin Wook,30,Korea Republic,Jeonbuk Hyundai Motors
A. Keogh,32,Republic of Ireland,Perth Glory
Javi Galán,23,Spain,Córdoba CF
D. Melo,24,Chile,CD Palestino
M. Vešović,26,Montenegro,Legia Warszawa
Pedro Pereira,20,Portugal,Genoa
J. Kappelhof,27,Netherlands,Chicago Fire
Y. Okubo,36,Japan,Júbilo Iwata
F. Bordagaray,31,Argentina,Defensa y Justicia
C. Akpom,22,England,PAOK
R. Taylor,33,England,Fleetwood Town
Kaíque Mutto,26,Brazil,Atlético Mineiro
N. Barrios,20,Argentina,San Lorenzo de Almagro
G. Sauro,28,Argentina,Columbus Crew SC
M. Riemann,29,Germany,VfL Bochum 1848
Jung Jo Gook,34,Korea Republic,Gangwon FC
Xavi Molina,31,Spain,KAS Eupen
S. Thesker,27,Germany,Holstein Kiel
Ailton Cardenhas,30,Brazil,Santos
G. Kyei,22,France,Racing Club de Lens
L. Wahlqvist,21,Sweden,SG Dynamo Dresden
G. Lorenzetti,33,Chile,Universidad de Chile
João Victor,24,Brazil,LASK Linz
D. Sánchez,31,Chile,Unión Española
D. Oberlin,20,Switzerland,FC Basel 1893
A. Avlonitis,28,Greece,SK Sturm Graz
I. Sissoko,20,France,RC Strasbourg Alsace
Aguilera,32,Spain,SD Huesca
Z. Boucher,26,France,Angers SCO
K. Misao,22,Japan,Kashima Antlers
B. Kısa,35,Turkey,Akhisar Belediyespor
T. Beermann,27,Germany,1. FC Heidenheim 1846
G. Courtet,29,France,FC Lorient
F. Oreja,36,Argentina,Gimnasia y Esgrima La Plata
J. Silva,23,Mexico,Cruz Azul
F. Ballo-Touré,21,France,LOSC Lille
S. Celozzi,29,Germany,VfL Bochum 1848
P. Kitchen,26,United States,LA Galaxy
T. Weilandt,26,Germany,VfL Bochum 1848
M. Salvi,24,Switzerland,FC Luzern
José Mari,30,Spain,Cádiz CF
L. Velázquez,29,Argentina,Rionegro Águilas
Fábio China,25,Portugal,Clube Sport Marítimo
A. Guðmundsson,21,Iceland,AZ Alkmaar
Niltinho,24,Brazil,GD Chaves
D. Perquis,32,France,Valenciennes FC
Fredy,28,Angola,Os Belenenses
Lee Seul Chan,24,Korea Republic,Jeonnam Dragons
S. McKenna,21,Scotland,Aberdeen
M. Ciofani,30,Italy,Pescara
